Date, google_search_total
01/01/2008,14
01/02/2008,14
01/03/2008,14
01/04/2008,16
01/05/2008,12
01/06/2008,11
01/07/2008,11
01/08/2008,10
01/09/2008,13
01/10/2008,14
01/11/2008,14
01/12/2008,13
01/01/2009,12
01/02/2009,13
01/03/2009,14
01/04/2009,14
01/05/2009,12
01/06/2009,13
01/07/2009,12
01/08/2009,11
01/09/2009,14
01/10/2009,14
01/11/2009,14
01/12/2009,13
01/01/2010,13
01/02/2010,14
01/03/2010,14
01/04/2010,14
01/05/2010,14
01/06/2010,12
01/07/2010,11
01/08/2010,12
01/09/2010,14
01/10/2010,14
01/11/2010,13
01/12/2010,13
01/01/2011,13
01/02/2011,14
01/03/2011,14
01/04/2011,14
01/05/2011,12
01/06/2011,12
01/07/2011,11
01/08/2011,13
01/09/2011,15
01/10/2011,20
01/11/2011,18
01/12/2011,17
01/01/2012,15
01/02/2012,18
01/03/2012,18
01/04/2012,17
01/05/2012,17
01/06/2012,15
01/07/2012,14
01/08/2012,16
01/09/2012,19
01/10/2012,18
01/11/2012,19
01/12/2012,16
01/01/2013,17
01/02/2013,18
01/03/2013,18
01/04/2013,20
01/05/2013,19
01/06/2013,17
01/07/2013,18
01/08/2013,17
01/09/2013,20
01/10/2013,23
01/11/2013,22
01/12/2013,22
01/01/2014,22
01/02/2014,24
01/03/2014,24
01/04/2014,26
01/05/2014,24
01/06/2014,23
01/07/2014,24
01/08/2014,25
01/09/2014,27
01/10/2014,29
01/11/2014,29
01/12/2014,28
01/01/2015,29
01/02/2015,32
01/03/2015,33
01/04/2015,35
01/05/2015,33
01/06/2015,34
01/07/2015,34
01/08/2015,34
01/09/2015,37
01/10/2015,42
01/11/2015,44
01/12/2015,42
01/01/2016,45
01/02/2016,47
01/03/2016,53
01/04/2016,53
01/05/2016,53
01/06/2016,54
01/07/2016,53
01/08/2016,57
01/09/2016,63
01/10/2016,67
01/11/2016,67
01/12/2016,66
01/01/2017,73
01/02/2017,79
01/03/2017,83
01/04/2017,86
01/05/2017,94
01/06/2017,100
